127.0.0.1 - - [09/May/2026:11:24:48 +0000] "GET / HTTP/1.1" 200 45351 "https://webview.e2b.bj5.sandbox.cloudstudio.club/?x-cs-sandbox-id=a104cef90d0d46eeac20c498614b7237&x-cs-sandbox-port=5000" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36"
127.0.0.1 - - [09/May/2026:11:24:48 +0000] "GET / HTTP/1.1" 200 45351 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.71(0x18004730) NetType/WIFI Language/zh_CN"
127.0.0.1 - - [09/May/2026:11:24:48 +0000] "GET /api/get_user HTTP/1.1" 200 12 "https://webview.e2b.bj5.sandbox.cloudstudio.club/" "Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.71(0x18004730) NetType/WIFI Language/zh_CN"
127.0.0.1 - - [09/May/2026:11:24:48 +0000] "GET /api/admin/check HTTP/1.1" 200 19 "https://webview.e2b.bj5.sandbox.cloudstudio.club/" "Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.71(0x18004730) NetType/WIFI Language/zh_CN"
127.0.0.1 - - [09/May/2026:11:24:50 +0000] "GET /api/ranking HTTP/1.1" 200 53 "https://webview.e2b.bj5.sandbox.cloudstudio.club/" "Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.71(0x18004730) NetType/WIFI Language/zh_CN"
127.0.0.1 - - [09/May/2026:11:24:59 +0000] "POST /api/admin/login HTTP/1.1" 200 17 "https://webview.e2b.bj5.sandbox.cloudstudio.club/" "Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.71(0x18004730) NetType/WIFI Language/zh_CN"
127.0.0.1 - - [09/May/2026:11:24:59 +0000] "GET /api/matches HTTP/1.1" 200 17754 "https://webview.e2b.bj5.sandbox.cloudstudio.club/" "Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.71(0x18004730) NetType/WIFI Language/zh_CN"
127.0.0.1 - - [09/May/2026:11:25:39 +0000] "POST /api/set_user HTTP/1.1" 200 45 "https://webview.e2b.bj5.sandbox.cloudstudio.club/" "Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.71(0x18004730) NetType/WIFI Language/zh_CN"
127.0.0.1 - - [09/May/2026:11:25:39 +0000] "GET /api/matches HTTP/1.1" 200 17754 "https://webview.e2b.bj5.sandbox.cloudstudio.club/" "Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.71(0x18004730) NetType/WIFI Language/zh_CN"
127.0.0.1 - - [09/May/2026:11:25:39 +0000] "GET /api/user_predictions?user=%E5%BC%A0%E9%95%BF%E5%BF%97 HTTP/1.1" 200 3 "https://webview.e2b.bj5.sandbox.cloudstudio.club/" "Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.71(0x18004730) NetType/WIFI Language/zh_CN"
127.0.0.1 - - [09/May/2026:11:25:46 +0000] "GET /api/match_predictions?match_id=1 HTTP/1.1" 200 209 "https://webview.e2b.bj5.sandbox.cloudstudio.club/" "Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.71(0x18004730) NetType/WIFI Language/zh_CN"
127.0.0.1 - - [09/May/2026:11:26:03 +0000] "GET /api/ranking HTTP/1.1" 200 53 "https://webview.e2b.bj5.sandbox.cloudstudio.club/" "Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.71(0x18004730) NetType/WIFI Language/zh_CN"
